,match_id,assists,baron_kills,bounty_level,champion_experience,consumables_purchased,damage_dealt_to_buildings,damage_dealt_to_objectives,damage_dealt_to_turrets,damage_self_mitigated,deaths,double_kills,dragon_kills,duration,first_blood_assist,first_blood_kill,first_tower_assist,first_tower_kill,gold_earned,gold_spent,inhibitor_kills,inhibitor_takedowns,inhibitors_lost,kda,killing_sprees,kills,largest_critical_strike,largest_killing_spree,largest_multi_kill,level,longest_time_spent_living,magic_damage_dealt,magic_damage_dealt_to_champions,magic_damage_taken,neutral_minions_killed,nexus_kills,nexus_lost,nexus_takedowns,objectives_stolen,objectives_stolen_assists,penta_kills,physical_damage_dealt,physical_damage_dealt_to_champions,physical_damage_taken,quadra_kills,sight_wards_bought,spell_1_casts,spell_2_casts,spell_3_casts,spell_4_casts,summoner_spell_1_casts,summoner_spell_2_casts,time_CCing_others,time_played,total_damage_dealt,total_damage_dealt_to_champions,total_damage_shielded_on_teammates,total_damage_taken,total_heal,total_heals_on_teammates,total_minions_killed,total_time_cc_dealt,total_time_spent_dead,total_units_healed,triple_kills,true_damage_dealt,true_damage_dealt_to_champions,true_damage_taken,turret_kills,turret_takedowns,turrets_lost,vision_score,vision_wards_bought,vision_wards_placed,wards_killed,wards_placed,win
44,5005901952,9.764918625678119,0.0,2,16386.18444846293,0.650994575045208,7273.562386980108,24607.59493670886,7273.562386980108,12489.330922242314,3.2549728752260396,0.650994575045208,0.0,46.083333333333336,False,False,False,False,13704.737793851718,11262.206148282097,0.650994575045208,0.650994575045208,1.301989150090416,4.8,1.301989150090416,5.8589511754068715,0.0,3.905967450271248,1.952983725135624,18,678.3363471971066,39269.94575045208,8064.520795660036,3921.591320072333,6.509945750452079,0.0,0.0,0.650994575045208,0.0,0.0,0.0,172843.61663652802,11963.327305605786,11326.654611211574,0.0,0.0,76.16636528028933,41.66365280289331,85.28028933092224,7.811934900542496,2.603978300180832,4.556962025316456,1.952983725135624,1800.0,215632.8390596745,20447.08860759494,0.0,15892.079566003616,3820.6871609403256,0.0,180.97649186256783,54.68354430379747,111.32007233273056,0.650994575045208,0.650994575045208,3519.9276672694396,417.9385171790235,643.1826401446655,2.603978300180832,2.603978300180832,5.207956600361664,16.925858951175407,0.0,0.0,0.650994575045208,10.415913200723327,True
45,5004853598,3.4188034188034186,0.0,0,11776.923076923076,0.8547008547008547,1077.7777777777778,1077.7777777777778,1077.7777777777778,9126.495726495727,5.982905982905983,1.7094017094017093,0.0,35.1,False,False,False,False,11977.777777777777,10970.085470085469,0.0,0.0,2.564102564102564,1.7142857142857142,1.7094017094017093,6.837606837606837,0.0,1.7094017094017093,1.7094017094017093,15,658.1196581196581,19450.427350427348,8965.811965811965,5853.846153846153,0.0,0.0,0.8547008547008547,0.0,0.0,0.0,0.0,95719.65811965811,11487.179487179486,9841.880341880342,0.0,0.0,64.95726495726495,36.75213675213675,75.21367521367522,6.837606837606837,4.273504273504273,5.128205128205128,0.8547008547008547,1800.0,115364.10256410256,20608.547008547008,0.0,16203.418803418803,2453.846153846154,0.0,178.63247863247864,5.982905982905983,234.18803418803418,0.8547008547008547,0.0,194.017094017094,155.55555555555554,507.6923076923077,0.0,0.8547008547008547,9.401709401709402,12.82051282051282,0.0,0.0,0.0,7.692307692307692,False
46,5004847900,2.680565897244974,0.0,3,10816.08339538347,1.340282948622487,3947.1332836932243,6600.893521965749,3947.1332836932243,3141.6232315711095,1.340282948622487,1.340282948622487,0.0,22.383333333333333,False,False,False,False,9881.906180193597,8410.275502606106,0.0,0.0,0.0,5.0,1.340282948622487,4.0208488458674605,0.0,4.0208488458674605,2.680565897244974,11,794.7877885331347,6769.769173492182,2687.2673119880865,1289.3521965748325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62411.61578555473,4321.072226358898,5532.688011913626,0.0,0.0,52.271034996276995,28.145941921072225,52.271034996276995,2.680565897244974,1.340282948622487,4.0208488458674605,0.0,1800.0,78324.79523454951,7218.763961280715,0.0,7024.422933730454,1056.1429635145198,0.0,158.15338793745346,26.80565897244974,16.083395383469842,1.340282948622487,0.0,9142.069992553983,209.08413998510798,201.04244229337306,1.340282948622487,2.680565897244974,1.340282948622487,12.062546537602383,0.0,0.0,0.0,8.041697691734921,True
47,5004409377,2.1818181818181817,0.0,0,9642.545454545454,1.0909090909090908,0.0,0.0,0.0,8295.272727272726,8.727272727272727,0.0,0.0,27.5,False,False,False,False,9399.272727272726,9556.363636363636,0.0,0.0,1.0909090909090908,0.625,0.0,3.2727272727272725,0.0,0.0,1.0909090909090908,12,675.2727272727273,10109.454545454544,3995.9999999999995,10508.727272727272,0.0,0.0,1.0909090909090908,0.0,0.0,0.0,0.0,74116.36363636363,6593.454545454545,7946.181818181818,0.0,0.0,50.18181818181818,43.63636363636363,63.272727272727266,9.818181818181817,3.2727272727272725,6.545454545454545,0.0,1799.9999999999998,84346.90909090909,10642.90909090909,0.0,18843.272727272724,1325.4545454545453,0.0,160.36363636363635,7.636363636363636,231.27272727272725,1.0909090909090908,0.0,121.09090909090908,52.36363636363636,387.27272727272725,0.0,0.0,8.727272727272727,19.636363636363633,0.0,0.0,3.2727272727272725,9.818181818181817,False
48,5003727773,14.096916299559473,0.0,0,17752.422907488988,0.881057268722467,3517.180616740088,10787.665198237886,3517.180616740088,14199.118942731278,5.286343612334802,1.762114537444934,0.0,34.05,True,False,False,False,16747.136563876655,14977.97356828194,0.0,0.0,3.524229074889868,4.666666666666667,2.643171806167401,10.572687224669604,451.9823788546256,5.286343612334802,2.643171806167401,18,749.7797356828195,36186.78414096917,6258.149779735683,7762.995594713657,7.048458149779736,0.0,0.881057268722467,0.0,0.0,0.0,0.0,181877.5330396476,15607.929515418504,9385.02202643172,0.0,0.0,87.22466960352423,33.480176211453745,84.58149779735683,7.048458149779736,3.524229074889868,4.405286343612335,0.881057268722467,1800.0000000000002,220315.41850220266,22042.290748898682,0.0,17591.189427312776,2564.7577092511015,0.0,233.48017621145377,127.75330396475772,185.02202643171807,0.881057268722467,0.881057268722467,2251.1013215859034,175.33039647577095,441.409691629956,0.881057268722467,0.881057268722467,9.691629955947137,19.383259911894275,0.0,0.0,3.524229074889868,7.048458149779736,False
49,5003693715,6.199770378874856,0.0,0,12345.80941446613,1.0332950631458093,9119.862227324913,40054.64982778415,9119.862227324913,5414.4661308840405,4.133180252583237,1.0332950631458093,1.0332950631458093,29.033333333333335,False,False,False,False,13104.247990815154,13262.342135476463,0.0,0.0,0.0,3.25,2.0665901262916186,7.233065442020665,0.0,5.166475315729047,2.0665901262916186,14,661.308840413318,25615.384615384613,4182.778415614236,3019.288174512055,8.266360505166475,0.0,0.0,0.0,0.0,0.0,0.0,117995.0631458094,10712.169919632604,9313.08840413318,0.0,0.0,61.99770378874856,34.098737083811706,76.46383467278989,3.099885189437428,3.099885189437428,5.166475315729047,0.0,1799.9999999999998,153130.19517795637,14895.981630309987,0.0,12443.972445464982,2109.9885189437427,0.0,152.92766934557977,29.96555683122847,129.16188289322616,1.0332950631458093,0.0,9518.714121699195,0.0,111.59586681974741,3.099885189437428,3.099885189437428,2.0665901262916186,17.566016073478757,0.0,0.0,2.0665901262916186,9.299655568312284,True
