From,Baron Control,Defending Inhibitor,Defending Turret,Destroying Wards,Dragon Control,Farming,Gank Bot,Gank Mid,Gank Top,Grub Control,Inhibitor Destroy,Moving Bot,Moving Bot River,Moving Enemy Bot Jungle,Moving Enemy Nexus,Moving Enemy Top Jungle,Moving Mid,Moving Own Bot Jungle,Moving Own Nexus,Moving Own Top Jungle,Moving Top,Moving Top River,Placing Wards,Turret Destroy nan
Enemy Side,15,1,7,16,17,789,24,13,22,8,8,10,11,8,3,13,17,67,17,47,7,11,55,14
Own Side,19,27,95,75,78,2816,199,105,150,36,4,69,72,68,11,81,134,348,375,501,59,124,460,22
