From,Baron Control,Defending Inhibitor,Defending Turret,Destroying Wards,Dragon Control,Farming,Gank Bot,Gank Mid,Gank Top,Grub Control,Inhibitor Destroy,Moving Bot,Moving Bot River,Moving Enemy Bot Jungle,Moving Enemy Top Jungle,Moving Mid,Moving Own Bot Jungl           e,Moving Own Bot Jungle,Moving Own Nexus,Moving Own Top Jungle,Moving Top,Moving Top River,Placing Wards,Turret Destroy nan
Enemy Side,0,0,0,0,0,151,1,2,1,0,1,1,3,0,0,4,0,4,4,9,0,0,8,1
Own Side,3,8,21,12,7,713,17,9,15,9,0,14,18,9,11,27,1,77,74,127,7,19,84,4
